species,country_of_origin,altitude,region,harvest_year,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,total_cup_points,moisture,category_one_defects,quakers,color,category_two_defects,expiration
Arabica,Taiwan,1200.0,"leye, alishan township, chiayi county",2015-01-01,Pulped natural / honey,8.0,8.0,8.0,8.25,8.0,8.17,10.0,10.0,10.0,8.17,86.58,0.0,0,0.0,Green,0,"May 18th, 2017"
Arabica,Nicaragua,1855,Unknown,2010-01-01,Other,7.92,8.25,8.0,8.33,8.0,8.08,10.0,10.0,10.0,8.0,86.58,0.08,0,0.0,None,2,"May 18th, 2011"
Arabica,Tanzania,1855,Unknown,2012-01-01,Natural / Dry,8.42,8.17,8.17,8.0,7.58,8.0,10.0,10.0,10.0,8.17,86.5,0.11,0,0.0,Bluish-Green,1,"September 3rd, 2014"
Arabica,Brazil,1300.0,vale da grama,2011-01-01,Natural / Dry,8.5,8.17,8.0,7.75,8.0,8.0,10.0,10.0,10.0,8.0,86.42,0.12,0,0.0,Green,2,"December 2nd, 2012"
Arabica,Costa Rica,1300.0,west and central valley,2015-01-01,Washed / Wet,8.17,7.83,8.0,8.08,7.83,8.0,10.0,10.0,10.0,8.42,86.33,0.0,0,0.0,Blue-Green,0,"December 2nd, 2016"
Arabica,Ethiopia,1775.0,oromia,2014-01-01,Natural / Dry,8.0,8.08,7.92,8.0,8.08,8.08,10.0,10.0,10.0,8.08,86.25,0.1,0,0.0,Green,3,"March 26th, 2016"
Arabica,Kenya,1800.0,muranga,2013-01-01,Washed / Wet,8.08,8.0,8.0,8.25,7.92,7.92,10.0,10.0,10.0,8.08,86.25,0.12,0,0.0,Blue-Green,1,"May 30th, 2015"
Arabica,United States (Hawaii),1855,kona,2012-01-01,Natural / Dry,8.08,8.17,8.0,7.92,7.92,7.83,10.0,10.0,10.0,8.33,86.25,0.0,1,0.0,None,4,"April 6th, 2013"
Arabica,United States (Hawaii),1855,kona,2010-01-01,Other,8.25,8.42,8.08,7.75,7.67,7.83,10.0,10.0,10.0,8.25,86.25,0.0,2,0.0,None,1,"January 28th, 2012"
Arabica,Ethiopia,1855,yirgacheffe,2009-01-01,Other,7.92,7.75,8.08,8.08,8.08,8.17,10.0,10.0,10.0,8.17,86.25,0.1,0,0.0,None,2,"June 17th, 2011"
Arabica,Colombia,1855,antioquia,2014-01-01,Washed / Wet,7.67,8.17,8.0,8.0,8.17,8.08,10.0,10.0,10.0,8.08,86.17,0.0,0,0.0,None,0,"March 12th, 2016"
Arabica,Thailand,1300.0,chiang rai,2012-01-01,Washed / Wet,7.83,8.33,7.83,8.25,7.58,7.92,10.0,10.0,10.0,8.42,86.17,0.1,1,0.0,Green,9,"April 12th, 2013"
Arabica,Brazil,1855,sul de minas - carmo de minas,2010-01-01,Other,8.17,7.92,7.92,7.75,8.33,8.0,10.0,10.0,10.0,8.08,86.17,0.08,0,0.0,None,2,"January 4th, 2012"
Arabica,Brazil,1855,sul de minas - carmo de minas,2010-01-01,Other,8.42,7.92,8.0,7.75,7.92,8.0,10.0,10.0,10.0,8.17,86.17,0.01,0,0.0,None,3,"January 4th, 2012"
Arabica,Taiwan,1855,natou county,2015-01-01,Semi-washed / Semi-pulped,8.08,8.17,7.75,8.08,7.75,7.83,10.0,10.0,10.0,8.42,86.08,0.12,0,0.0,Green,0,"June 9th, 2016"
Arabica,Kenya,1754.0,nyeri,2014-01-01,Natural / Dry,8.08,8.08,8.0,8.0,7.83,8.08,10.0,10.0,10.0,8.0,86.08,0.11,0,0.0,Bluish-Green,2,"January 29th, 2016"
Arabica,Brazil,1855,south of minas,2011-01-01,Semi-washed / Semi-pulped,8.33,8.0,8.0,8.0,7.75,8.0,10.0,10.0,10.0,8.0,86.08,0.11,0,0.0,Blue-Green,2,"December 2nd, 2012"
Arabica,Uganda,1855,eastern uganda,2014-01-01,Semi-washed / Semi-pulped,8.08,8.08,7.83,7.92,8.08,7.92,10.0,10.0,10.0,8.08,86.0,0.0,0,0.0,None,0,"October 1st, 2015"
Arabica,Colombia,1855,tolima,2013-01-01,Washed / Wet,7.75,7.92,7.83,8.08,8.08,8.17,10.0,10.0,10.0,8.17,86.0,0.12,1,0.0,Green,1,"March 20th, 2015"
Arabica,Kenya,1855,kiambu,2013-01-01,Washed / Wet,7.92,8.17,7.83,8.5,7.5,7.92,10.0,10.0,10.0,8.17,86.0,0.11,0,0.0,Green,1,"February 6th, 2015"
Arabica,Uganda,1855,"sipi, mt elgon",2012-01-01,Washed / Wet,8.25,8.0,7.83,8.08,8.0,7.92,10.0,10.0,10.0,7.92,86.0,0.1,0,0.0,Blue-Green,0,"February 12th, 2013"
Arabica,Ethiopia,1855,sidamo,2009-01-01,Other,7.75,8.08,8.0,8.25,8.0,8.0,10.0,10.0,10.0,7.92,86.0,0.01,0,0.0,None,4,"June 17th, 2011"
Arabica,United States (Hawaii),1855,kona,2009-01-01,Other,8.33,8.17,7.75,8.0,7.75,7.83,10.0,10.0,10.0,8.17,86.0,0.0,0,0.0,None,0,"May 31st, 2011"
Arabica,Guatemala,1855,nuevo oriente,2016-01-01,Washed / Wet,7.92,8.08,7.92,8.08,8.08,7.83,10.0,10.0,10.0,8.0,85.92,0.1,0,1.0,Green,3,"May 16th, 2017"
Arabica,Uganda,1650.0,eastern,2013-01-01,Natural / Dry,8.17,8.17,7.92,8.08,7.83,7.75,10.0,10.0,10.0,8.0,85.92,0.12,0,0.0,Green,0,"June 30th, 2015"
Arabica,Colombia,1855,huila,2013-01-01,Washed / Wet,8.0,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,7.92,85.92,0.0,1,0.0,Blue-Green,0,"July 26th, 2014"
Arabica,Panama,1600.0,boquete,2017-01-01,Washed / Wet,8.0,8.0,7.92,8.08,7.83,8.0,10.0,10.0,10.0,8.0,85.83,0.08,0,1.0,Bluish-Green,0,"October 9th, 2018"
Arabica,Ethiopia,1900.0,oromia,2014-01-01,Washed / Wet,7.83,8.08,7.92,8.08,8.0,7.92,10.0,10.0,10.0,8.0,85.83,0.1,0,0.0,Green,4,"April 3rd, 2016"
Arabica,Guatemala,5000.0,acatenango,2012-01-01,Washed / Wet,7.83,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,8.0,85.83,0.12,0,0.0,Green,3,"July 3rd, 2013"
Arabica,Guatemala,4650.0,nuevo oriente,2012-01-01,Washed / Wet,8.0,8.0,7.83,8.33,7.83,7.83,10.0,10.0,10.0,8.0,85.83,0.1,0,0.0,Bluish-Green,1,"June 5th, 2013"
